case_id,side,hemisphere,landmark,alpha_deg,alpha_signed_deg,Jx,Jy,J_norm,J_share
9_0,left,10,ankle_outer,14.453044611568382,-14.453044611568382,-0.011060193143688547,0.0019391423557222028,0.011228897784353147,0.12137183786771015
9_0,right,11,femur_head,9.796741051314894,9.796741051314894,-0.019852752262393993,0.0003823150689909828,0.019856433144045973,0.22186808750254974
9_0,right,11,knee_inner,9.796741051314894,9.796741051314894,0.016155444037568457,-0.00031111402692022205,0.016158439404495493,0.18054813881697793
9_0,right,11,ost_point,9.796741051314894,9.796741051314894,-0.0008912524847508076,0.0038538142039611562,0.003955529662412765,0.044197555265472234
9_0,right,11,knee_outer,9.796741051314894,9.796741051314894,0.026925740062614095,-0.0005185233782003702,0.026930732340825825,0.3009135646949632
9_0,right,11,ankle_inner,9.796741051314894,9.796741051314894,-0.011168589676518875,-0.0017032459339157734,0.011297718445502376,0.12623632686001846
9_0,right,11,ankle_outer,9.796741051314894,9.796741051314894,-0.011168589676518875,-0.0017032459339157734,0.011297718445502376,0.12623632686001846
26_0,left,12,femur_head,6.632115023107123,-6.632115023107123,-0.019895876174462222,0.0004836545685514656,0.019901753955147126,0.2244679950697852
26_0,left,12,knee_inner,6.632115023107123,-6.632115023107123,0.01619860427955703,-0.00039377652410308307,0.016203389785986694,0.1827548680780473
26_0,left,12,ost_point,6.632115023107123,-6.632115023107123,-0.0006760159918409309,-0.0026178377966080456,0.002703714546799337,0.030494668205065422
26_0,left,12,knee_outer,6.632115023107123,-6.632115023107123,0.026997673799261712,-0.0006562942068384718,0.027005649643311157,0.3045914467967455
26_0,left,12,ankle_inner,6.632115023107123,-6.632115023107123,-0.011312192956257794,0.0015921269794990675,0.011423684948319315,0.1288455109251783
26_0,left,12,ankle_outer,6.632115023107123,-6.632115023107123,-0.011312192956257794,0.0015921269794990675,0.011423684948319315,0.1288455109251783
26_0,right,13,femur_head,0.5713142609381333,0.5713142609381333,-0.020748387640262638,-0.0012111627421116748,0.02078370767833504,0.236833216597135
26_0,right,13,knee_inner,0.5713142609381333,0.5713142609381333,0.016389607987837108,0.0009567241029449422,0.01641750806316628,0.1870797695621049
26_0,right,13,ost_point,0.5713142609381333,0.5713142609381333,-4.900725434360889e-05,0.00022604557840580526,0.00023129702655917182,0.0026356615305200394
26_0,right,13,knee_outer,0.5713142609381333,0.5713142609381333,0.027316013313061844,0.0015945401715749036,0.02736251343861046,0.3117996159368414
26_0,right,13,ankle_inner,0.5713142609381333,0.5713142609381333,-0.011454113203146352,-0.0007830735554069881,0.011480849858075374,0.13082586818669936
26_0,right,13,ankle_outer,0.5713142609381333,0.5713142609381333,-0.011454113203146352,-0.0007830735554069881,0.011480849858075374,0.13082586818669936
63_0,left,14,femur_head,7.006894964352403,-7.006894964352403,-0.020341557533768085,-0.00017880002066560923,0.02034234333470427,0.21607466874074127
63_0,left,14,knee_inner,7.006894964352403,-7.006894964352403,0.017156023582266425,0.00015079953272785057,0.017156686324997394,0.1822368865458199
63_0,left,14,ost_point,7.006894964352403,-7.006894964352403,-0.0006203853005181635,-0.003041678418059837,0.0031043011322985413,0.03297362687260271
63_0,left,14,knee_outer,7.006894964352403,-7.006894964352403,0.028593372637110707,0.00025133255454641763,0.028594477208328993,0.3037281442430332
63_0,left,14,ankle_inner,7.006894964352403,-7.006894964352403,-0.012393726692545442,0.0014091731757255891,0.012473581296832835,0.13249333679890143
